Cafetaria Weapons 1
Cafetaria Admin 1
Cafetaria Storage 1
Cafetaria Upper_Engine 1
Cafetaria Medbay 1
Cafetaria Admin 0
Cafetaria Vent 0
Vent Cafetaria 0
Vent Navigations 1
Vent O2 1
Vent Weapons 1
Vent Shield 1
Weapons O2 1
Weapons Navigations 1
Weapons Navigations 0
Weapons Shield 1
Weapons Cafetaria 1
Weapons Vent 1
O2 Navigations 1
O2 Shield 1
O2 Weapons 1
O2 Vent 1
Navigations Shield 1
Navigations Shield 0
Navigations O2 1
Navigations Weapons 1
Navigations Vent 1
Shield Communications 1
Shield Storage 1
Shield Navigations 1
Shield Navigations 0
Shield O2 1
Shield Weapons 1
Shield Vent 1
Communications Shield 1
Communications Storage 1
Storage Admin 1
Storage Electrical 1
Storage Lower_Engine 1
Storage Cafetaria 1
Storage Communications 1
Storage Shield 1
Electrical Lower_Engine 1
Electrical Storage 1
Electrical Medbay 0
Lower_Engine Security 1
Lower_Engine Reactor 1
Lower_Engine Reactor 0
Lower_Engine Upper_Engine 1
Lower_Engine Electrical 1
Lower_Engine Storage 1
Security Reactor 1
Security Upper_Engine 1
Security Lower_Engine 1
Security Medbay 0
Reactor Upper_Engine 1
Reactor Upper_Engine 0
Reactor Security 1
Reactor Lower_Engine 1
Reactor Lower_Engine 0
Upper_Engine Medbay 1
Upper_Engine Cafetaria 1
Upper_Engine Security 1
Upper_Engine Reactor 1
Upper_Engine Reactor 0
Upper_Engine Lower_Engine 1
Medbay Cafetaria 1
Medbay Upper_Engine 1
Medbay Security 0
Medbay Electrical 0
Admin Cafetaria 1
Admin Storage 1
